"","TF","target","importance"
"268","ETS1","DDX5",12.884231826351
"269","FOXP3","UCP2",12.8600735821444
"270","ETS1","TRBC2",12.8063579640372
"271","JUND","HSPA8",12.7805498858945
"272","ETS1","EIF1",12.7378548483388
"273","JUND","RPL34",12.7005843533097
"274","FOS","ANXA1",12.6679325923662
"275","STAT1","CD74",12.6537697958177
"276","ETS1","EEF2",12.652592043008
"277","ETS1","RHOA",12.6123252455837
"278","KLF2","LEF1",12.5799235382302
"279","JUN","KLF6",12.5704998886498
"280","JUND","RPL27",12.5295170592274
"281","ETS1","EEF1A1",12.5151027989769
"282","KLF2","RPS27",12.5115979485461
"283","JUND","MCL1",12.4585843292952
"284","JUN","KLF2",12.4554448460312
"285","KLF6","IL32",12.4509382223273
"286","JUN","RPS3A",12.3750361676932
"287","RARA","APC",12.3629300816714
"288","JUND","RPSA",12.3338112886303
"289","FOS","KLF2",12.2905350219397
"290","KLF7","MTRNR2L1",12.2838548235012
"291","KLF2","YWHAB",12.2786969166495
"292","KLF2","FOS",12.2574342645759
"293","KLF6","CD44",12.2570863968927
"294","REL","CD74",12.2338056739574
"295","JUNB","HLA.A",12.2120184297016
"296","JUNB","RPS18",12.1954664732853
"297","STAT1","HSPA1A",12.170224615559
"298","NFATC1","SNX5",12.1606412850168
"299","PPARD","PDE6B",12.129773715093
"300","ZNF90","CTD.2192J16.22",12.1292815681661
"301","FOXP3","CD74",12.10903170127
"302","ETS1","CD44",12.0871657562036
"303","KLF2","HLA.A",12.0805611586094
"304","ZNF33A","GNLY",12.0425331114896
"305","NFE2L3","TPPP",12.0067053675068
"306","FOXP3","TNFRSF4",12.0032030503961
"307","KLF2","JUN",11.9636248091712
"308","ZBTB7A","STRAP",11.9578621394477
"309","FOXP3","HSPA1A",11.9148910194212
"310","ZNF90","RPL21",11.9148747174463
"311","THRA","NUDCD3",11.8513958721238
"312","JUN","RPS12",11.7688065740019
"313","JUNB","BIRC3",11.7685693595825
"314","ZNF90","RPS5",11.7421546021557
"315","JUNB","CD44",11.7400644277068
"316","E2F4","RELL2",11.7173810398404
"317","ATF3","HSPA1B",11.6899224586757
"318","JUND","MT.CO1",11.6553365251507
"319","KLF2","AES",11.6266238071553
"320","FOXP3","IL32",11.6249211560024
"321","KLF2","HSP90AA1",11.5997740281152
"322","JUND","PFN1",11.5890221737842
"323","RAD21","RNPEP",11.5712988350719
"324","MAF","GZMA",11.5638776111788
"325","JUND","RPL7A",11.5490927311519
"326","FOSB","CD69",11.5271132774493
"327","ETS1","SH3BGRL3",11.5255851372395
"328","JUN","BTG1",11.5097729147304
"329","JUND","RPL19",11.4655306084781
"330","NFKB1","TNFAIP3",11.4648974702648
"331","JUN","CYTIP",11.4527219426952
"332","JUND","ZFP36L2",11.4455863958835
"333","FOS","MIR24.2",11.4446225211769
"334","ETS1","S100A10",11.4434321662814
"335","GTF3A","S100A10",11.3849614759707
"336","FOXP3","IKZF4",11.3696124279909
"337","JUND","RPL15",11.3580236253252
"338","JUN","NFKBIA",11.3443761978887
"339","JUND","RPL23",11.3301793168236
"340","JUNB","CD74",11.2990465030254
"341","KLF2","LRRFIP1",11.1872659424686
"342","NFKB2","TNFRSF4",11.1667983246804
"343","FOSB","ANXA1",11.1638844134895
"344","KLF6","FYB",11.1470791652372
"345","NFKB1","KLF2",11.1058093141714
"346","PRDM1","DDX5",11.0867913087537
"347","ETS1","RPS18",11.0824470994777
"348","KLF2","SARAF",11.048438409528
"349","JUN","EEF2",11.0472029061754
"350","JUNB","LITAF",11.0398261849441
"351","FOS","EEF1B2",11.0179791409445
"352","JUND","NACA",11.0110016015318
"353","ETS1","FLNA",10.9944238756663
"354","IKZF1","FTH1",10.9892170180589
"355","JUNB","CYTIP",10.9861572146385
"356","JUND","NFKBIA",10.9696582077849
"357","FOXP3","TNFRSF1B",10.9398323588262
"358","ATF3","DNAJB1",10.9364730384542
"359","JUND","RPS2",10.9271850331639
"360","JUN","RPL18",10.9120535464394
"361","IRF3","HLA.B",10.9116218796744
"362","JUN","DUSP2",10.8854023846027
"363","JUND","MT.ND5",10.8801078991398
"364","JUN","HSPA8",10.8622155895092
"365","KLF13","EIF4G3",10.8479496406016
"366","JUN","RGS1",10.8416540801773
"367","TBX21","ARF1",10.8164521977779
"368","KLF2","LMNA",10.8112650856263
"369","ETS1","ACTR3",10.7932907989617
"370","IRF1","RGCC",10.7737755930319
"371","KLF2","UBB",10.7407249534277
"372","KLF6","TAGAP",10.6635124423207
"373","KLF2","PIK3R1",10.6539702518742
"374","ETS1","ARL4C",10.6306260873437
"375","RORC","CCL5",10.6297821828652
"376","ZNF33A","IRF1",10.618155651492
"377","FOS","RPL4",10.617799341164
"378","JUNB","HSP90AB1",10.6079596585627
"379","FOXP3","TBC1D4",10.6014344388715
"380","EGR1","NR4A1",10.5350920946435
"381","ETS1","CD74",10.5345837528421
"382","FOXP3","CD177",10.5179055756094
"383","JUND","IL32",10.5145242333341
"384","SMARCC2","CTSA",10.4694034148678
"385","HMGB1","TMSB4X",10.4521359059271
"386","FOXP3","IL2RA",10.431283858817
"387","JUNB","GAPDH",10.4231152953628
"388","JUND","CLIC1",10.4023414575027
"389","KLF2","KLF3",10.3977058524208
"390","KLF2","RACK1",10.3845122971035
"391","JUN","MTRNR2L1",10.3600676330394
"392","RARA","SEC31A",10.2455506893118
"393","STAT1","MALAT1",10.2431445364822
"394","ETS1","COX4I1",10.2327749617279
"395","JUND","RPS15A",10.2153506768242
"396","JUNB","DNAJA1",10.2075685545968
"397","ETS1","CD53",10.1847350350452
"398","KLF2","ITGA1",10.1795702734953
"399","ETS1","TMEM123",10.1607811387936
"400","MAF","PBXIP1",10.1553960187271
"401","ETS1","FAU",10.1457286975031
"402","ZNF230","CENPT",10.1431580003946
"403","FOXP3","HSPB1",10.1424430075803
"404","ETS1","RPL18A",10.1242208511978
